id,name,lat,lon,rating,preference
400,Trần Minh An,10.765899,106.716512,4.9,Trò chuyện
401,Nguyễn Minh Hiếu,10.745823,106.704561,4.8,Im lặng
402,Phan Hữu Cường,10.750427,106.607409,4.9,Trò chuyện
403,Phạm Anh Tuấn,10.782985,106.646642,4.8,Im lặng
404,Bùi Anh Đạt,10.762845,106.65683,4.5,Im lặng
405,Nguyễn Quang Quân,10.809423,106.748163,4.2,Im lặng
406,Phan Anh Hải,10.807877,106.708252,4.6,Im lặng
407,Võ Văn Long,10.756617,106.737757,4.9,Trò chuyện
408,Phạm Đức Phú,10.737499,106.653703,3.9,Trò chuyện
409,Huỳnh Minh Nam,10.830275,106.6899,3.6,Im lặng
410,Đặng Đức Bình,10.836828,106.688138,4.1,Trò chuyện
411,Hoàng Hữu Lâm,10.744462,106.688174,3.5,Trò chuyện
412,Phạm Thị Việt,10.744842,106.618228,4.2,Im lặng
413,Huỳnh Anh Phong,10.721138,106.638498,4.2,Trò chuyện
414,Phan Ngọc Tuấn,10.846207,106.611168,3.6,Trò chuyện
415,Dương Thị Trung,10.785373,106.717891,4.8,Trò chuyện
416,Phan Quang Tùng,10.761435,106.653507,4.1,Im lặng
417,Dương Đức Phú,10.843935,106.665069,5.0,Im lặng
418,Phạm Đức Vinh,10.808425,106.746657,4.1,Trò chuyện
419,Lý Hữu Cường,10.700446,106.676391,4.6,Trò chuyện
420,Nguyễn Ngọc Phong,10.772999,106.670091,4.1,Im lặng
421,Hồ Thị Hải,10.802424,106.743254,3.8,Trò chuyện
422,Lý Thị Khánh,10.708894,106.739527,4.9,Im lặng
423,Đặng Anh Hiếu,10.838301,106.632125,4.3,Im lặng
424,Hồ Văn Bảo,10.830796,106.737075,5.0,Trò chuyện
425,Đỗ Văn Bảo,10.785282,106.604757,4.8,Trò chuyện
426,Hồ Hữu Tuấn,10.72605,106.679043,3.6,Trò chuyện
427,Bùi Minh Huy,10.74341,106.718776,4.2,Im lặng
428,Vũ Quang Cường,10.814257,106.652998,4.7,Trò chuyện
429,Phan Hữu Thắng,10.836074,106.611052,3.8,Trò chuyện
430,Đỗ Đức Tuấn,10.804439,106.682748,3.6,Im lặng
431,Bùi Đức Hải,10.726416,106.675285,4.6,Im lặng
432,Đỗ Hữu Nam,10.765972,106.631396,3.5,Im lặng
433,Phạm Thị Quang,10.771397,106.739343,4.9,Trò chuyện
434,Võ Đức Nghĩa,10.70447,106.644615,4.1,Trò chuyện
435,Lý Quang Nam,10.820042,106.600615,3.6,Trò chuyện
436,Nguyễn Quang Quân,10.776393,106.72964,3.9,Im lặng
437,Dương Minh Phong,10.745944,106.688552,5.0,Im lặng
438,Trần Đức Long,10.739045,106.716381,5.0,Im lặng
439,Hoàng Văn Huy,10.709761,106.70835,4.1,Im lặng
440,Vũ Thị Khánh,10.823964,106.654387,4.3,Im lặng
441,Huỳnh Thị Minh,10.703029,106.606166,3.8,Trò chuyện
442,Ngô Hữu Bảo,10.700982,106.729906,4.4,Im lặng
443,Hoàng Đức Nam,10.796728,106.744861,4.3,Im lặng
444,Hoàng Quang Quang,10.731182,106.670297,4.2,Im lặng
445,Ngô Quang Minh,10.81075,106.694926,3.8,Im lặng
446,Trần Đức Lâm,10.70158,106.604256,4.9,Trò chuyện
447,Lê Ngọc Bình,10.843033,106.63485,5.0,Im lặng
448,Hoàng Đức Vinh,10.719403,106.74223,4.7,Im lặng
449,Ngô Minh Hiếu,10.783467,106.678937,4.9,Im lặng
450,Hồ Đức Vinh,10.768193,106.607356,4.6,Im lặng
451,Đặng Ngọc Quân,10.781331,106.632498,4.4,Trò chuyện
452,Đỗ Đức Khoa,10.767232,106.615606,3.9,Im lặng
453,Hồ Đức Hải,10.712651,106.709794,4.9,Trò chuyện
454,Võ Quang Khánh,10.817058,106.704353,4.95,Im lặng
455,Lê Minh Khoa,10.754092,106.621791,4.7,Im lặng
456,Lý Quang Nghĩa,10.805785,106.632315,3.5,Im lặng
457,Lý Quang Nam,10.763605,106.630892,4.4,Trò chuyện
458,Đỗ Ngọc Khoa,10.756722,106.69622,4.5,Trò chuyện
459,Đỗ Hữu Tuấn,10.765905,106.635802,4.4,Trò chuyện
460,Hồ Anh Tuấn,10.768368,106.677778,3.6,Im lặng
461,Đỗ Văn Trí,10.788688,106.707035,5.0,Trò chuyện
462,Phạm Ngọc Phú,10.768218,106.725024,3.8,Trò chuyện
463,Vũ Văn Hiếu,10.763023,106.663838,4.6,Im lặng
464,Huỳnh Quang An,10.842613,106.730113,5.0,Trò chuyện
465,Hồ Hữu Bảo,10.766933,106.624708,3.8,Im lặng
466,Phan Hữu Bảo,10.752406,106.65216,3.5,Trò chuyện
467,Ngô Văn Tùng,10.740237,106.624584,4.8,Im lặng
468,Đỗ Thị Hiếu,10.744452,106.658824,3.7,Trò chuyện
469,Võ Quang Khánh,10.808367,106.65477,4.95,Im lặng
470,Vũ Quang Phú,10.801305,106.640767,5.0,Trò chuyện
471,Hồ Hữu Thắng,10.712304,106.742981,4.5,Trò chuyện
472,Hoàng Quang Nghĩa,10.75503,106.652821,4.0,Im lặng
473,Lý Quang Hải,10.733916,106.686056,4.0,Im lặng
474,Bùi Anh Trung,10.802714,106.693322,3.9,Trò chuyện
475,Ngô Quang Sơn,10.789369,106.666209,4.5,Trò chuyện
476,Đỗ Đức Phong,10.756195,106.676626,4.2,Im lặng
477,Hồ Văn Phong,10.739249,106.68986,4.6,Trò chuyện
478,Bùi Anh Khánh,10.704753,106.601798,4.4,Trò chuyện
479,Ngô Hữu Quân,10.776728,106.659487,4.9,Trò chuyện
480,Phạm Anh Tuấn,10.741594,106.618024,3.7,Im lặng
481,Hoàng Văn Hải,10.755126,106.640592,4.3,Im lặng
482,Trần Hữu Cường,10.70251,106.639619,3.5,Trò chuyện
483,Đặng Văn Hải,10.748914,106.641506,3.8,Im lặng
484,Hoàng Minh An,10.779161,106.747401,5.0,Im lặng
485,Vũ Minh Thịnh,10.819713,106.696569,4.6,Im lặng
486,Phan Quang Hải,10.80373,106.74609,4.6,Im lặng
487,Ngô Đức Phúc,10.700007,106.636538,4.2,Trò chuyện
488,Nguyễn Ngọc Bảo,10.815409,106.617499,4.3,Trò chuyện
489,Ngô Ngọc Quân,10.758782,106.693915,4.3,Trò chuyện
490,Phan Thị Dũng,10.732256,106.627332,4.1,Trò chuyện
491,Nguyễn Quang Bảo,10.771832,106.664688,4.5,Trò chuyện
492,Dương Thị Thắng,10.830917,106.709783,4.4,Trò chuyện
493,Phạm Hữu Quân,10.740476,106.692289,5.0,Im lặng
494,Bùi Văn Trí,10.782121,106.636167,3.9,Trò chuyện
495,Hoàng Quang Long,10.831459,106.662895,3.8,Trò chuyện
496,Đặng Quang Dũng,10.748965,106.707643,4.4,Im lặng
497,Võ Minh Sơn,10.762527,106.735711,4.1,Trò chuyện
498,Phan Anh Long,10.818773,106.662773,4.0,Im lặng
499,Huỳnh Đức Thắng,10.780713,106.65958,4.8,Im lặng
500,Ngô Minh Quân,10.782123,106.736793,5.0,Trò chuyện
